Time (ns),Current (nA),Voltage (mV),Energy (uJ),DSR
"0","2216500","3275","32.7","0x3D39B3280004870"
"892000","2216500","3279","39.0",""
"1726000","2216500","3266","45.7",""
"2559000","2216500","3266","51.2",""
"3392000","2216500","3269","57.5",""
"4474000","2216500","3266","65.0",""
"5364000","2216500","3267","72.1",""
"6203000","2216500","3268","78.5",""
"7037000","2208100","3269","84.0","0x3D3BD3AC0004870"
"7869000","2208100","3266","90.7","0x3D39F3080004870"
"8954000","2208100","3266","98.2",""
"9845000","2208100","3268","104.9",""
"10679000","2208100","3265","110.8",""
"11514000","2208100","3265","117.1","0x3D3BD3AC0004870"
"12347000","2208100","3266","123.8","0x3D39B9C80004870"
"13431000","2208100","3267","130.9",""
"14322000","2248100","3266","138.0",""
"15161000","2248100","3266","143.5",""
"16000000","2248100","3266","150.2",""
"16834000","2248100","3267","156.2",""
"17918000","2248100","3267","164.0",""
"18810000","2248100","3268","170.8",""
"19644000","2248100","3266","176.7",""
"20478000","2248100","3267","183.0",""
"21312000","2206100","3267","188.9",""
"22395000","2206100","3267","197.2",""
"23286000","2206100","3268","203.5",""
"24121000","2206100","3268","209.4",""
"24955000","2206100","3268","216.1",""
"25795000","2206100","3268","221.6",""
"26878000","2206100","3268","229.9",""
"27769000","2206100","3267","235.8",""
"28602000","2230000","3268","242.6",""
"29436000","2230000","3268","248.9",""
"30270000","2230000","3268","254.4","0x3D3BD2880004870"
"31353000","2230000","3267","263.1","0x23D39B7280004808"
"32244000","2230000","3267","269.0","0x3D39F4680004870"
"33078000","2230000","3268","275.3",""
"33912000","2230000","3268","281.2","0x23D39B7280004808"
"34747000","2230000","3268","287.5","0x3D39F0480004870"
"35836000","2214200","3268","295.4",""
"36727000","2214200","3268","301.7",""
"37560000","2214200","3268","308.4",""
"38393000","2214200","3268","313.9",""
"39227000","2214200","3268","320.7",""
"40311000","2214200","3268","327.8",""
"41202000","2214200","3268","334.9",""
"42036000","2214200","3268","341.2",""
"42871000","2208900","3268","346.7",""
"43705000","2208900","3268","353.4",""
"44789000","2208900","3268","360.9",""
"45686000","2208900","3268","367.6",""
"46519000","2208900","3268","373.5",""
"47353000","2208900","3268","379.8",""
"48187000","2208900","3268","386.1",""
"49270000","2208900","3269","393.6",""
"50162000","2246300","3268","400.7",""
"50996000","2246300","3268","406.3",""
"51829000","2246300","3268","412.6",""
"52663000","2246300","3269","418.9",""
"53747000","2246300","3269","426.8",""
"54640000","2246300","3269","433.5","0x23D39B7280004808"
"55479000","2246300","3270","439.0","0x3D3B1AA80004870"
"56312000","2246300","3269","446.1",""
"57151000","2257800","3269","452.8",""
"58235000","2257800","3269","461.5",""
"59126000","2257800","3269","469.0",""
"59959000","2257800","3269","475.3",""
"60793000","2257800","3269","482.4",""
"61628000","2257800","3269","489.1",""
"62712000","2257800","3269","497.8",""
"63603000","2465600","3269","505.3",""
"64438000","2465600","3269","512.0",""
"65271000","2465600","3269","519.1",""
"66110000","2465600","3269","525.4",""
"67195000","2465600","3269","532.9",""
"68086000","2465600","3268","540.0",""
"68921000","2465600","3268","545.6",""
"69754000","2465600","3269","551.9",""
"70587000","2311600","3269","558.6",""
"71671000","2311600","3269","566.1","0x3D3BD3AC0004870"
"72563000","2311600","3269","572.8","0x3D39F2680004870"
"73397000","2311600","3269","578.3",""
"74229000","2311600","3269","585.0",""
"75063000","2311600","3268","590.9",""
"76153000","2311600","3269","598.8",""
"77043000","2311600","3269","605.5","0x23D39B7280004808"
"77876000","2197200","3269","611.4","0x3D39EF680004870"
"78710000","2197200","3269","617.7",""
"79544000","2197200","3269","623.7",""
"80627000","2197200","3269","631.9",""
"81519000","2197200","3269","638.3",""
"82354000","2197200","3270","644.2",""
"83187000","2197200","3269","650.9",""
"84021000","2197200","3269","656.4",""
"85104000","2232900","3269","664.7",""
"86001000","2232900","3269","670.6",""
"86835000","2232900","3269","677.3",""
"87669000","2232900","3269","683.6",""
"88504000","2232900","3269","689.5",""
"89646000","2232900","3269","698.2",""
"90480000","2232900","3269","703.7",""
"91314000","2232900","3270","710.5",""
"92148000","2205800","3270","716.0",""
"92982000","2205800","3270","722.3",""
"94066000","2205800","3269","730.2",""
"94956000","2205800","3270","736.9",""
"95795000","2205800","3270","743.2",""
"96630000","2205800","3270","748.7",""
"97463000","2205800","3269","755.4",""
"98547000","2205800","3269","762.9",""
"99443000","2228700","3269","769.6",""
"100277000","2228700","3269","775.9",""
"101111000","2228700","3269","781.8",""
"101945000","2228700","3269","788.6",""
"103029000","2228700","3269","795.7",""
"103919000","2228700","3269","802.8",""
"104751000","2228700","3269","808.7",""
"105591000","2228700","3269","815.0",""
"106424000","2260500","3269","821.7",""
"107509000","2260500","3269","828.8",""
"108400000","2260500","3269","835.9",""
"109232000","2260500","3270","841.4",""
"110067000","2260500","3270","848.1",""
"110901000","2260500","3270","854.0",""
"111985000","2260500","3270","861.9",""
"112875000","2260500","3270","868.6",""
"113710000","2198400","3270","874.6",""
"114544000","2198400","3270","881.3",""
"115378000","2198400","3270","886.8",""
"116467000","2198400","3270","895.1",""
"117358000","2198400","3270","901.4",""
"118191000","2198400","3270","907.7",""
"119025000","2198400","3270","914.0",""
"119859000","2198400","3271","919.5",""
"120943000","2247700","3270","928.2",""
"121835000","2247700","3270","934.1",""
"122667000","2247700","3270","940.4",""
"123502000","2247700","3270","946.7","0x23D39B7280004808"
"124336000","2247700","3270","952.7","0x3D39F3680004870"
"125419000","2247700","3270","961.3",""
"126317000","2247700","3270","967.3",""
"127150000","2247700","3270","973.6",""
"127984000","2206900","3270","979.5",""
"128818000","2206900","3270","985.8",""
"129901000","2206900","3270","993.7",""
"130792000","2206900","3270","1000.4",""
"131626000","2206900","3271","1006.7",""
"132459000","2206900","3270","1012.2",""
"133292000","2206900","3270","1019.3",""
"134377000","2206900","3270","1028.0",""
"135267000","2331400","3270","1035.5",""
"136108000","2331400","3270","1042.2",""
"136942000","2331400","3270","1048.9",""
"137776000","2331400","3270","1055.6","0x3D3AF0280004870"
"138860000","2331400","3270","1064.7","0x3D3BD2A80004870"
"139751000","2331400","3269","1071.8","0x3D3BD3AC0004870"
"140589000","2331400","3269","1078.5","0x3D3AEE880004870"
"141423000","2331400","3269","1085.6",""
"142258000","2481400","3270","1092.8",""
"143342000","2481400","3270","1101.0",""
"144234000","2481400","3270","1107.0",""
"145067000","2481400","3270","1113.7",""
"145907000","2481400","3271","1119.6","0x23D39B7280004808"
"146740000","2481400","3270","1125.5","0x3D39F1C80004870"
"147823000","2481400","3270","1133.8",""
"148715000","2481400","3271","1140.1",""
"149548000","2229800","3271","1146.4",""
"150383000","2229800","3271","1152.3",""
"151218000","2229800","3270","1158.6",""
"152302000","2229800","3270","1166.5",""
"153195000","2229800","3271","1172.8",""
"154028000","2229800","3270","1179.5",""
"154862000","2229800","3270","1185.1",""
"155701000","2229800","3270","1191.8",""
"156784000","2213600","3270","1199.3",""
"157675000","2213600","3270","1206.0",""
"158510000","2213600","3270","1212.3",""
"159344000","2213600","3270","1218.2",""
"160178000","2213600","3270","1224.5",""
"161261000","2213600","3270","1232.0",""
"162153000","2213600","3270","1239.1",""
"162987000","2213600","3270","1245.0","0x23D39B7280004808"
"163820000","2225600","3270","1250.9","0x3D39F1280004870"
"164653000","2225600","3269","1257.6",""
"165742000","2225600","3269","1265.1",""
"166634000","2225600","3269","1272.2",""
"167468000","2225600","3269","1277.8",""
"168302000","2225600","3270","1284.1",""
"169136000","2225600","3269","1290.4","0x23D39B7280004808"
"170212000","2225600","3269","1297.9","0x3D39F2080004870"
"171111000","2246300","3270","1305.0",""
"171946000","2246300","3270","1310.5",""
"172780000","2246300","3270","1317.2",""
"173614000","2246300","3270","1322.7",""
"174699000","2246300","3270","1331.0",""
"175595000","2246300","3270","1337.3","0x23D39B7280004808"
"176429000","2246300","3270","1343.6","0x3D39F3080004870"
"177263000","2246300","3270","1350.0",""
"178098000","2189900","3270","1355.5",""
"179181000","2189900","3270","1364.2",""
"180073000","2189900","3270","1370.1",""
"180907000","2189900","3270","1376.8",""
"181742000","2189900","3270","1382.7","0x23D39B7280004808"
"182580000","2189900","3269","1388.6","0x3D39F0280004870"
"183664000","2189900","3270","1397.3",""
"184556000","2189900","3270","1403.2",""
"185390000","2245900","3270","1409.5",""
"186228000","2245900","3269","1415.4",""
"187063000","2245900","3269","1421.7",""
"188205000","2245900","3269","1430.0","0x23D39B7280004808"
"189038000","2245900","3269","1436.3","0x3D39F1C80004870"
